,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
42,0.0017045974731445313,0.0005112399445838434,0.01253337860107422,0.00259530379476342,brute,15,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.1958041958041958,-0.22535211267605634,-0.176056338028169,-0.18309859154929578,-0.19241573033707865,0.01766076199851502,25,-0.18980667838312829,-0.18101933216168717,-0.17017543859649123,-0.18596491228070175,-0.17894736842105263,-0.18118274596861222,0.006684695316368597
9,0.0016067028045654297,0.00020385376882706412,0.006419992446899414,0.0008030145663969725,ball_tree,17,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",-0.22377622377622378,-0.1888111888111888,-0.1619718309859155,-0.19718309859154928,-0.19718309859154928,-0.19382022471910113,0.019800829957498933,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
52,0.0008040428161621094,0.00040250404960659973,0.009829378128051758,0.0020478416808673984,brute,18,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 18, 'p': 1, 'weights': 'uniform'}",-0.21678321678321677,-0.1958041958041958,-0.15492957746478872,-0.18309859154929578,-0.21830985915492956,-0.19382022471910113,0.023470813511628053,29,-0.1757469244288225,-0.18629173989455183,-0.17719298245614035,-0.1824561403508772,-0.17543859649122806,-0.17942527672432398,0.004260081768731749
78,0.003207969665527344,0.0019950327936614906,0.018853139877319337,0.004645938543981465,auto,19,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.22377622377622378,-0.19718309859154928,-0.16901408450704225,-0.19718309859154928,-0.19382022471910113,0.018341042963330507,29,-0.1968365553602812,-0.18629173989455183,-0.1912280701754386,-0.17894736842105263,-0.1912280701754386,-0.18890636080535259,0.005994771493477475
38,0.002004861831665039,0.001001119766953037,0.01534113883972168,0.0010316283217036224,kd_tree,19,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.22377622377622378,-0.19718309859154928,-0.16901408450704225,-0.19718309859154928,-0.19382022471910113,0.018341042963330507,29,-0.1968365553602812,-0.18629173989455183,-0.1912280701754386,-0.17894736842105263,-0.1912280701754386,-0.18890636080535259,0.005994771493477475
72,0.002809762954711914,0.0016084911091212906,0.019049787521362306,0.0031685596433635903,auto,18,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 18, 'p': 1, 'weights': 'uniform'}",-0.21678321678321677,-0.1958041958041958,-0.15492957746478872,-0.18309859154929578,-0.21830985915492956,-0.19382022471910113,0.023470813511628053,29,-0.1757469244288225,-0.18629173989455183,-0.17719298245614035,-0.1824561403508772,-0.17543859649122806,-0.17942527672432398,0.004260081768731749
49,0.0012029170989990234,0.00024539962816285516,0.004511880874633789,0.0007093147130914693,brute,17,1,distance,"{'algorithm': 'brute', 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",-0.22377622377622378,-0.1888111888111888,-0.1619718309859155,-0.19718309859154928,-0.19718309859154928,-0.19382022471910113,0.019800829957498933,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
32,0.0017037391662597656,0.0002454764915224483,0.014338111877441407,0.0009823627417652045,kd_tree,18,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 18, 'p': 1, 'weights': 'uniform'}",-0.21678321678321677,-0.1958041958041958,-0.15492957746478872,-0.18309859154929578,-0.21830985915492956,-0.19382022471910113,0.023470813511628053,29,-0.1757469244288225,-0.18629173989455183,-0.17719298245614035,-0.1824561403508772,-0.17543859649122806,-0.17942527672432398,0.004260081768731749
58,0.0012009143829345703,0.0005093918145778637,0.009727716445922852,0.0018131230420704988,brute,19,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.22377622377622378,-0.19718309859154928,-0.16901408450704225,-0.19718309859154928,-0.19382022471910113,0.018341042963330507,29,-0.1968365553602812,-0.18629173989455183,-0.1912280701754386,-0.17894736842105263,-0.1912280701754386,-0.18890636080535259,0.005994771493477475
29,0.001603984832763672,0.00037457222358284727,0.009827375411987305,0.0021166923803606196,kd_tree,17,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",-0.22377622377622378,-0.1888111888111888,-0.1619718309859155,-0.19718309859154928,-0.19718309859154928,-0.19382022471910113,0.019800829957498933,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
12,0.0017052173614501953,0.0004011157575924203,0.012437725067138672,0.001247335686801467,ball_tree,18,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 18, 'p': 1, 'weights': 'uniform'}",-0.21678321678321677,-0.1958041958041958,-0.15492957746478872,-0.18309859154929578,-0.21830985915492956,-0.19382022471910113,0.023470813511628053,29,-0.1757469244288225,-0.18629173989455183,-0.17719298245614035,-0.1824561403508772,-0.17543859649122806,-0.17942527672432398,0.004260081768731749
69,0.0014037609100341797,0.000374852314264557,0.006924152374267578,0.0016926411390161462,auto,17,1,distance,"{'algorithm': 'auto', 'n_neighbors': 17, 'p': 1, 'weights': 'distance'}",-0.22377622377622378,-0.1888111888111888,-0.1619718309859155,-0.19718309859154928,-0.19718309859154928,-0.19382022471910113,0.019800829957498933,29,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
18,0.003205394744873047,0.0027199762532341106,0.018751001358032225,0.005782364666675647,ball_tree,19,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.22377622377622378,-0.19718309859154928,-0.16901408450704225,-0.19718309859154928,-0.19382022471910113,0.018341042963330507,29,-0.1968365553602812,-0.18629173989455183,-0.1912280701754386,-0.17894736842105263,-0.1912280701754386,-0.18890636080535259,0.005994771493477475
41,0.0015045166015625,0.00031741211198859666,0.006517219543457031,0.0013817300747796558,brute,15,1,distance,"{'algorithm': 'brute', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.1888111888111888,-0.19014084507042253,-0.19014084507042253,-0.19718309859154928,-0.1952247191011236,0.007870513785322818,41,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
61,0.0012029647827148438,0.0002456516115490468,0.005717802047729492,0.0010794415258022405,auto,15,1,distance,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.1888111888111888,-0.19014084507042253,-0.19014084507042253,-0.19718309859154928,-0.1952247191011236,0.007870513785322818,41,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1,0.0009044170379638672,0.00020176662153159353,0.004269456863403321,0.00046647226169468063,ball_tree,15,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.1888111888111888,-0.19014084507042253,-0.19014084507042253,-0.19718309859154928,-0.1952247191011236,0.007870513785322818,41,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
21,0.001904916763305664,0.00037548951899382785,0.007119131088256836,0.00037564247735369025,kd_tree,15,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.1888111888111888,-0.19014084507042253,-0.19014084507042253,-0.19718309859154928,-0.1952247191011236,0.007870513785322818,41,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
65,0.0020051002502441406,0.0008369156547536318,0.00692453384399414,0.001505041422319825,auto,16,1,distance,"{'algorithm': 'auto', 'n_neighbors': 16, 'p': 1, 'weights': 'distance'}",-0.21678321678321677,-0.2097902097902098,-0.176056338028169,-0.19014084507042253,-0.19014084507042253,-0.19662921348314608,0.014750271891067052,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
74,0.0019045352935791015,0.0004914981145546425,0.014752483367919922,0.003225296896358968,auto,18,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.21678321678321677,-0.20422535211267606,-0.176056338028169,-0.20422535211267606,-0.19662921348314608,0.015266427565280218,45,-0.19156414762741653,-0.18453427065026362,-0.19649122807017544,-0.1912280701754386,-0.18771929824561404,-0.19030740295378165,0.004017314300680209
59,0.0021135807037353516,0.0020194754368808663,0.006016063690185547,0.0018746179050443583,brute,19,2,distance,"{'algorithm': 'brute', 'n_neighbors': 19, 'p': 2, 'weights': 'distance'}",-0.18181818181818182,-0.23076923076923078,-0.20422535211267606,-0.16901408450704225,-0.19718309859154928,-0.19662921348314608,0.021019234604008143,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
54,0.0010486602783203124,0.000676484317015327,0.00982961654663086,0.0014410236872647473,brute,18,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.21678321678321677,-0.20422535211267606,-0.176056338028169,-0.20422535211267606,-0.19662921348314608,0.015266427565280218,45,-0.19156414762741653,-0.18453427065026362,-0.19649122807017544,-0.1912280701754386,-0.18771929824561404,-0.19030740295378165,0.004017314300680209
50,0.0012033462524414062,0.0004008771265192374,0.010828828811645508,0.0011693443087432804,brute,17,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}",-0.1958041958041958,-0.20279720279720279,-0.20422535211267606,-0.19014084507042253,-0.19014084507042253,-0.19662921348314608,0.006006471354037863,45,-0.19332161687170474,-0.18101933216168717,-0.18771929824561404,-0.1824561403508772,-0.19473684210526315,-0.18785064594702927,0.005534184877065591
70,0.0020052909851074217,0.0005487277101724287,0.022317981719970702,0.011465918501302965,auto,17,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}",-0.1958041958041958,-0.20279720279720279,-0.20422535211267606,-0.19014084507042253,-0.19014084507042253,-0.19662921348314608,0.006006471354037863,45,-0.19332161687170474,-0.18101933216168717,-0.18771929824561404,-0.1824561403508772,-0.19473684210526315,-0.18785064594702927,0.005534184877065591
39,0.0018046379089355468,0.00024571018541460875,0.0060160160064697266,0.0004485673068569781,kd_tree,19,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 19, 'p': 2, 'weights': 'distance'}",-0.18181818181818182,-0.23076923076923078,-0.20422535211267606,-0.16901408450704225,-0.19718309859154928,-0.19662921348314608,0.021019234604008143,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
19,0.001804351806640625,0.00024479748792002377,0.006517219543457031,0.000709449781691204,ball_tree,19,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 19, 'p': 2, 'weights': 'distance'}",-0.18181818181818182,-0.23076923076923078,-0.20422535211267606,-0.16901408450704225,-0.19718309859154928,-0.19662921348314608,0.021019234604008143,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5,0.00110321044921875,0.00020108231442046915,0.0046901702880859375,0.0006547524449227911,ball_tree,16,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 16, 'p': 1, 'weights': 'distance'}",-0.21678321678321677,-0.2097902097902098,-0.176056338028169,-0.19014084507042253,-0.19014084507042253,-0.19662921348314608,0.014750271891067052,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
10,0.0017042160034179688,0.0002451843159498659,0.01404271125793457,0.0017678633340385138,ball_tree,17,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}",-0.1958041958041958,-0.20279720279720279,-0.20422535211267606,-0.19014084507042253,-0.19014084507042253,-0.19662921348314608,0.006006471354037863,45,-0.19332161687170474,-0.18101933216168717,-0.18771929824561404,-0.1824561403508772,-0.19473684210526315,-0.18785064594702927,0.005534184877065591
